"track_id","track_name","release_date","duration_ms","popularity","cover_album","artists_names","artists_ids"
"4tSPA58GjMf2CIKvvMkb0x","Flamingo","2024-05-22","135104","31","https://i.scdn.co/image/ab67616d0000b2738849ff43bc9bb17fc4ff3356","Koorosh","1UjD9VWeqDDlDSvNlnFTdl"
"69SC5PNWqA5BIf7OO6k8OI","Adrift Migration","2018-11-15","248400","0","https://i.scdn.co/image/ab67616d0000b27337d15eb0e136af5d4cbb5a16","Mehdi Jalali","7yXZV5xDnlmJE7P8ViO50j"
"0WMuoE7M4BCpJLfAsJKdj2","Donya Naya","2012-02-19","243370","0","https://i.scdn.co/image/ab67616d0000b273f436c5001c68b4b4c272ef08","Amir Tataloo","5CEosSs2y4M9THNGI6mej8"
"1J7KCfKBmntMvFCgF6kxkH","Ba Maram","2016-03-25","193149","21","https://i.scdn.co/image/ab67616d0000b273459bef783b945f0bdbe42625","Tohi","7pBXdJN9S9N9nNifjPixET"
"033JtEbTMa0QGPUpU8djAE","Pesare Kochik va Aghaye Topol","2016-03-17","154253","2","https://i.scdn.co/image/ab67616d0000b273d1d603c7c779b587fb815978","Bamdad,Yarapelak,Daygard","28PKM2pUlv1CXnc98XFVrY,61Htw6gp56jDjEx1Ruq8YE,6PYQIrZX7AkXEQiVjSf9jr"
"5jtrBrhHcfifxzqWG6ZWM6","Che Ajab","2018-02-07","218097","6","https://i.scdn.co/image/ab67616d0000b273bb2e67c56217e66445ea28c7","Sasy","0LkkLM2M97UEG7hi5mLn3u"
"3NOthh1cnLnb8cgj3TvPYG","Refigham","2024-01-30","155219","32","https://i.scdn.co/image/ab67616d0000b2730179c7028d750cae01befda9","Maslak","6ZWZCww4so7LacgTJiFTWb"
"4ZJZKLyhewsNt89M6RkXTv","Salam","2016-09-07","183719","26","https://i.scdn.co/image/ab67616d0000b27334c115daa6f913ec16789997","Sasy","0LkkLM2M97UEG7hi5mLn3u"
"1xGBR4WvcGFxxiKw32ts7Z","Shoroue Yek Aghaaz","2019-10-10","223764","0","https://i.scdn.co/image/ab67616d0000b273de2fa081e3b0a5ddb3fce5d4","Mc Tes","0WlePVQtjzjgNFSrRt67Wz"
"30aQBqYEboq5xbfuhs9KGV","KhoDi","2021-09-10","170434","0","https://i.scdn.co/image/ab67616d0000b27396519acc879b3a0202d965a6","Neesh Sound,Mr. MP","4dx4Kt2VFQICjy0ur94VEY,312BL78Dsf1uJTK2qWLcPd"
"2BfDJW1vY6VCprBMH1T3BB","Hanooz Vaght Hast","2023-02-05","192592","12","https://i.scdn.co/image/ab67616d0000b273e160ff3c5f03af3db0c29338","Sijal,Yasna","5F0BGBdSL945Bzxrq8aGbn,3jsEU8O3FGj4cnbL1qicau"
"0RNFtu0WtyhMksGnnCWGNJ","Tavalod","2022-07-26","280046","12","https://i.scdn.co/image/ab67616d0000b2736b5c111f7608e671e5d47221","Sijal,Alireza Jj,Behzad Leito,Sohrab Mj","5F0BGBdSL945Bzxrq8aGbn,3tecdksDTajgP8xxkuDgyJ,4zNEj5bkHE0kNSpfIwgdvu,2B4DnBz9uzJN5nPgLEHCt7"
"40rolRTe1F2VJsVFMAmVT6","BOOF","2023-10-12","249350","27","https://i.scdn.co/image/ab67616d0000b27318e24d664b5b93894428b232","Dariu$h,Saeed Dehghan,6ehtash","3HQedAYh7K5YW4MD108gP3,4Fur00fBe3AKKXw7tlVXmr,2w1iXx8ZQgV9UBT6O0eDyV"
"1FCYvhmTb9vtmwJveKxN3M","SE","2023-12-18","227481","13","https://i.scdn.co/image/ab67616d0000b273f954fa6af7e6d2866c97d46e","Safir,Saeed Dehghan","5UvGzlSJuUhWwH6NojEKy2,4Fur00fBe3AKKXw7tlVXmr"
"1mPsoN0G9Wl9RROaHtwGK4","Halale","2023-07-04","248625","27","https://i.scdn.co/image/ab67616d0000b27387e02bf8c8abad786510134f","Poori,Shayea","5uEEhLt2ETeApnvs40MOxk,3QNGoF6VzVNnkpjJDT3NHq"
"5qBfQ2huS4VZuKfSmaPsWJ","Maintenant ou jamais","2020-11-27","201690","0","https://i.scdn.co/image/ab67616d0000b273580727c978428ea4e8779b59","Deel","4wR1m4VlccEJInMvOU7fl9"
"0CgPzqjyRgCsI51lRa0s3k","Boro Bargard","2021","185808","20","https://i.scdn.co/image/ab67616d0000b273b69f103c538128107dc30007","Donya","5BWEzcCkhlDK9MLrw7sDKu"
"5EEdkHT5xfeo4h3xvaJRhP","To Bemoon","2022-11-20","205767","22","https://i.scdn.co/image/ab67616d0000b2736b98e7cbae119d3da260746d","Dalu,EMVI","0BX4QfYgm05DzBJyA6hqVJ,46cSYR2hyJHcVXkD9aF95u"
"2nGeSaANsidFVd09hfKH1J","Rooh","2019-07-11","191242","3","https://i.scdn.co/image/ab67616d0000b2736e10107941e9cac29d578224","Mc Tes","0WlePVQtjzjgNFSrRt67Wz"
"54m2zUe82Y2ImAyfJvezHN","Sooratak","2018-10-12","321488","2","https://i.scdn.co/image/ab67616d0000b273a4cbb367438d130828581eae","Rokh,Saeed Dehghan","2CBqYRmN5GKCtfnV4oH472,4Fur00fBe3AKKXw7tlVXmr"
"0pcUMPiWe5FDpSaqVLeSoQ","Ghahveye Talkh (feat. Nona)","2016-02-20","288628","2","https://i.scdn.co/image/ab67616d0000b2732a162c542ad6fc606edf8b55","Erfan,Nona","1yPzb9mqugowOfUs2vIOgL,16GGqwp6RACaFu0B692Wfn"
"3Q166pKGpQNFSFnu8RpvsE","XXVI","2021-08-02","61091","27","https://i.scdn.co/image/ab67616d0000b27306876926edbeeb397366d43c","Poori","5uEEhLt2ETeApnvs40MOxk"
"1Q923Jmd0ADNmRWlfSS4gh","Adatame","2023-07-21","152632","21","https://i.scdn.co/image/ab67616d0000b2733d1e50d23ca6d1cd581bef59","Arta,Radochi,Arman Miladi","6gPKjPIXbBBnuLyLEq79Sz,5rTF7lPejG7dqc8JTPR7lW,3eqSr81gcNym9KLon3xcRR"
"4hVta6mXc8yb5ZdCikPgJC","Sokhan","2019-06-06","262321","2","https://i.scdn.co/image/ab67616d0000b273fd0d85667ae2b8d73607b199","Naghsh,Mc Tes","7KNaJNyQzOlNchbyg6BKrq,0WlePVQtjzjgNFSrRt67Wz"
"5WORBvV3ei72kCOIAS8Gj3","HAW?","2020-02-20","210703","2","https://i.scdn.co/image/ab67616d0000b273bf4fafa8abceb2cad57c67c8","Amin Tijay,Radochi","3JS9sHeI06RtolBR5s5O0L,5rTF7lPejG7dqc8JTPR7lW"
"1QTvjhkEw2ZmfFoJ7f55Yp","Taghsim","2020-09-18","138205","0","https://i.scdn.co/image/ab67616d0000b27359fdec69a87fa63aa7c33fc3","Farsea,Navid","4K296DxqeClfjk2ojL31nS,0g8Hw7BAsdJ2K8pKOmZzxp"
"114be749Di6TQuX6pJgM6J","Bahman","2018-03-04","259316","7","https://i.scdn.co/image/ab67616d0000b273ed7454b63459e52804e0ad7c","Gdaal,Ezzrail","7mGDv3CYlPghTIWzE6tOpv,1w14T24ay2kCqIrS9rf7Uq"
"5O70XkbLA54Eue6sO7RCLO","Equalizer","2018-06-13","213604","1","https://i.scdn.co/image/ab67616d0000b273c38c683f503a7da56c93c17d","Merzhak","6JRWq2ja4nHQVqUnLtWarc"
"6TRM21eevF71UVTRZNFqDa","Gorg O Mish 2 (Live)","2020-12-16","320170","8","https://i.scdn.co/image/ab67616d0000b273948ee25ce784ed4d532cc328","Mehrad Hidden","0jCVTRvQkILbJvpviTpvd1"
"4NR3oGT3WNRvYu0QTs2eb8","Dejagah","2018-06-06","232855","4","https://i.scdn.co/image/ab67616d0000b273c482d3475486f5511effe041","Erfan,Paya,Gdaal","1yPzb9mqugowOfUs2vIOgL,62AW9VlTxtw554o2Sll0fK,7mGDv3CYlPghTIWzE6tOpv"
"72GuAqxYt4cJUWebA8KNP1","Be Man Che Han","2014-07-05","222014","18","https://i.scdn.co/image/ab67616d0000b273b6819850d3477906f1dcecc6","Amir Tataloo","5CEosSs2y4M9THNGI6mej8"
"2bKjhdfFruC2iKBhnQ9FIu","NAADIDEH","2023-04-15","236000","17","https://i.scdn.co/image/ab67616d0000b27309c1d12548801803c0632fd1","Bahram,Ashkan Mousavi","57LWeRc7ybAWTsS2vS1GA7,5So8orOM150gg75Tm71sAl"
"34DHcGxVcc8BodaBRaA8J6","Man","2013-11-27","276845","14","https://i.scdn.co/image/ab67616d0000b273969361c9c7f3e186f5a59648","Amir Tataloo","5CEosSs2y4M9THNGI6mej8"
