"track_url","page_name","track_title","plays","likes","comments","upload_datetime","cover_url"
"https://soundcloud.com/amintijayy/zire-balesh","Amin Tijay","Amin Tijay x Pouriya Adroit - Zire Balesh","193112","4002","269","2024-03-24T09:12:10.000Z","https://i1.sndcdn.com/artworks-xxdc2R6ioVqyKTEt-Or14pQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/bruce-lee","Amin Tijay","Amin Tijay x Pouriya Adroit - Bruce Lee","136465","2889","164","2024-03-24T09:11:57.000Z","https://i1.sndcdn.com/artworks-xxdc2R6ioVqyKTEt-Or14pQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/die4u","Amin Tijay","DIE4U","149144","3972","207","2024-02-13T20:48:45.000Z","https://i1.sndcdn.com/artworks-lRnjMvQegrPhpJbo-8Mrk9Q-t50x50.jpg"
"https://soundcloud.com/amintijayy/powpow","Amin Tijay","POW POW","204580","4451","499","2024-01-24T22:18:51.000Z","https://i1.sndcdn.com/artworks-LZ7jUjrYTJNNv9ab-04gyHQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/host","Amin Tijay","Host","413784","7907","625","2024-01-20T23:49:09.000Z","https://i1.sndcdn.com/artworks-lDqNth1ymSxyIdAU-3RnKfA-t50x50.jpg"
"https://soundcloud.com/amintijayy/in-raw-deraze","Amin Tijay","In Raw Deraze","449727","7905","513","2023-12-07T20:29:51.000Z","https://i1.sndcdn.com/artworks-L5zk71EXYZPIf4mr-MDMJ0A-t50x50.jpg"
"https://soundcloud.com/amintijayy/be-qiafat-nemiad-ft-hesam-tiem","Amin Tijay","Be Qiafat Nemiad (Ft Hesam Tiem)","860673","12900","717","2023-11-25T21:21:14.000Z","https://i1.sndcdn.com/artworks-2avoY5SPdMbWY3Ro-cQOrRg-t50x50.jpg"
"https://soundcloud.com/amintijayy/pov","Amin Tijay","POV (Skit)","101460","1528","73","2023-08-03T22:03:34.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/age-unvar-budam","Amin Tijay","Age Unvar Budam","98543","1863","152","2023-08-03T22:02:04.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/rubi-rose","Amin Tijay","Rubi Rose","191310","3333","152","2023-08-03T22:01:58.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/dokhtara","Amin Tijay","Dokhtara","360975","8005","501","2023-08-03T22:01:50.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/golabi","Amin Tijay","Golabi","165393","2856","112","2023-08-03T22:01:44.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/block","Amin Tijay","Block","297312","5814","229","2023-08-03T22:01:38.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/g-leez-v-leez","Amin Tijay","GleezVleez","371539","6885","446","2023-08-03T22:01:31.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/yadame","Amin Tijay","Yadame","145095","2807","93","2023-08-03T22:01:23.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/baare-akhar","Amin Tijay","Baare Akhar ( Ft. Tamara )","136984","2822","103","2023-08-03T22:01:17.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/mikesham","Amin Tijay","Mikesham","188276","3281","134","2023-08-03T22:01:09.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/brazzers-house","Amin Tijay","Brazzers House","148600","2679","129","2023-08-03T22:01:03.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/bad-j","Amin Tijay","Bad J","167641","3024","123","2023-08-03T22:00:53.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/ghade-khodam","Amin Tijay","Ghade Khodam","146153","2818","122","2023-08-03T22:00:46.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/blackout","Amin Tijay","Black Out ( Ft. XWHISKY )","141297","2588","149","2023-08-03T22:00:38.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/labello","Amin Tijay","Labello","192128","3264","186","2023-08-03T22:00:30.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/telesm","Amin Tijay","Telesm","175917","3438","193","2023-08-03T22:00:22.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/tether","Amin Tijay","Tether ( Ft. Pouriya Adroit )","313347","5885","304","2023-08-03T22:00:14.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/robot","Amin Tijay","Robot","164916","2763","161","2023-08-03T22:00:07.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/underrated","Amin Tijay","Underrated ( Ft. Lil Deafo )","367299","7341","436","2023-08-03T22:00:02.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/dart","Amin Tijay","Dart","164382","3188","217","2023-08-03T21:59:54.000Z","https://i1.sndcdn.com/artworks-BxA1OF1zQyI835Jy-ThoZZw-t50x50.jpg"
"https://soundcloud.com/amintijayy/solo","Amin Tijay","Solo","120876","2380","136","2023-07-19T18:07:08.000Z","https://i1.sndcdn.com/artworks-wVKsyjzpF1q7NuAA-JnQJjQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/like-a-king","Amin Tijay","Like A King ( Ft. Lil Deafo )","92343","1862","102","2023-07-11T17:25:08.000Z","https://i1.sndcdn.com/artworks-quTBw5Acg3yjqSHU-hgODGA-t50x50.jpg"
"https://soundcloud.com/amintijayy/skq-ft-mamazi-22three","Amin Tijay","SKQ ( Ft. Mamazi & 22Three )","107048","2391","150","2023-07-01T19:42:24.000Z","https://i1.sndcdn.com/artworks-UzEyfZzNYsN4NC50-ZCjgjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/paareh-ft-tiem","Amin Tijay","Paareh ( Ft. Tiem )","346808","6236","348","2023-06-12T09:15:41.000Z","https://i1.sndcdn.com/artworks-oSYrHy56aXBaBDx2-W6yc2g-t50x50.jpg"
"https://soundcloud.com/amintijayy/marry-wanna","Amin Tijay","Marry Wanna","889250","13900","934","2023-04-20T07:37:25.000Z","https://i1.sndcdn.com/artworks-yhiDHz7lp8oyf4GC-dD3bXg-t50x50.jpg"
"https://soundcloud.com/amintijayy/khodafezi","Amin Tijay","Khodafezi","158351","3341","321","2023-03-06T16:41:38.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/adam-barfi-skit","Amin Tijay","Adam Barfi (Skit)","113925","2059","169","2023-03-06T16:41:31.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/stress","Amin Tijay","Stress (feat. Alerzo)","480131","9743","425","2023-03-06T16:41:24.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/ke-chi","Amin Tijay","Ke Chi","88314","1685","150","2023-03-06T16:41:18.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/goosebumps","Amin Tijay","Goosebumps","295105","4947","449","2023-03-06T16:41:10.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/khoone","Amin Tijay","Khoone","116104","2248","216","2023-03-06T16:41:03.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/mizaram-miram","Amin Tijay","Mizaram Miram","190236","4082","355","2023-03-06T16:40:55.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/to-1","Amin Tijay","To (feat. Heliyom)","285178","5122","280","2023-02-12T17:45:39.000Z","https://i1.sndcdn.com/artworks-un6wmFQoCZkWaabU-QfFMOQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/chi-mishe","Amin Tijay","Chi Mishe","358493","6976","981","2023-01-01T10:56:13.000Z","https://i1.sndcdn.com/artworks-qhGzs5M4AevMRHIP-6zNZjg-t50x50.jpg"
"https://soundcloud.com/amintijayy/bnk","Amin Tijay","Be Naame Khodaei Ke","245472","3802","424","2022-11-30T15:30:17.000Z","https://i1.sndcdn.com/artworks-dAazRckUYyGpLJ3e-Ne8kOQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/mehrqam","Amin Tijay","MehrQam","209125","4385","817","2022-10-29T19:31:43.000Z","https://i1.sndcdn.com/artworks-TiyVeLggWhemf7ut-WwLneA-t50x50.jpg"
"https://soundcloud.com/amintijayy/amin-tijay-x-lil-deafo-vali-man-na","Amin Tijay","Vali Man Na","91833","1815","167","2022-09-19T09:48:45.000Z","https://i1.sndcdn.com/artworks-579qQvKgYYkoyqBk-4JEX9w-t50x50.jpg"
"https://soundcloud.com/amintijayy/mugshot","Amin Tijay","Mugshot","589360","9049","762","2022-08-09T19:44:17.000Z","https://i1.sndcdn.com/artworks-LBT9pL9mXx4RZEEb-Rqqxbg-t50x50.jpg"
