"album_id","album_name","total_tracks","release_date","album_type","artist_names","artist_ids","cover"
"7kU3cgz1z3IBmmlzC4TfN0","Nemishe Bahat Harf Zad","1","2012-12-22","single","Amir Tataloo,Reza Pishro","5CEosSs2y4M9THNGI6mej8,0u4qrFczDmAsJesHPgbnru","https://i.scdn.co/image/ab67616d0000485120b133e95b8c9c43490202f8"
"7j4zwHY3JAChLMtZYJhuLn","Dobare Padesham","1","2012-12-22","single","Amir Tataloo,Reza Pishro","5CEosSs2y4M9THNGI6mej8,0u4qrFczDmAsJesHPgbnru","https://i.scdn.co/image/ab67616d00004851d8267079b6a4772d95a7b9d1"
"1WNJ8yvWVs3zleGqpar3Zb","Oje Eshgh","1","2012-11-08","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048514fd88dca9a94f909bed8bc73"
"2GHruZbMYtDtMmcoldo0VP","Nameh Be Shomare 7","1","2012-10-19","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485196be4755c79c4f2bc0d0cc4e"
"5463vQD8netfnqYVF1SA1F","Boro Az Pishe Man 2","1","2012-10-17","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048513189b757cf8ca33f1aa356e8"
"4zncvovpqgwVvvBq2JccMr","Emshab Bemoon","1","2012-10-07","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048515d987c987ae490bb6c93513c"
"2QS7euVz6klkwUKfwbLDen","Chera Vaysadi","1","2012-08-06","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851b9d1c0e554678e8e49157b4e"
"2OoXvUyWVJif5zFmVkPkIx","Baba Oon Balas","1","2012-08-06","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851974e9308e461806b996fe5b6"
"0eAHGtU9j47JaYLaJmpcWj","Cheshmam Nadid","1","2012-07-28","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851c99f9aea8d17cf7ab12ae4c2"
"1uu6rmfZjfd4JMrObehfFT","Aroosake Bi Cheshm O Roo","1","2012-05-19","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851b9d1eb68940aac2e6af328fd"
